,Unnamed: 0.1,Unnamed: 0,Origin,Destination,TravelTime
0,0.0,0.0,2046,2148,1542.795
1,1.0,1.0,2044,2148,1952.516
2,2.0,2.0,2040,2148,1514.136
3,3.0,3.0,2016,2148,2135.305
4,4.0,4.0,2042,2148,1758.795
5,5.0,5.0,2032,2148,2249.461
6,6.0,6.0,2019,2148,2138.378
7,7.0,7.0,2035,2148,2346.288
8,8.0,8.0,2037,2148,1766.905
9,9.0,9.0,2033,2148,2239.873
10,10.0,10.0,2046,2000,922.073
11,11.0,11.0,2044,2000,1272.29
12,12.0,12.0,2040,2000,621.341
13,13.0,13.0,2016,2000,595.481
14,14.0,14.0,2042,2000,991.149
15,15.0,15.0,2032,2000,1407.745
16,16.0,16.0,2019,2000,1152.323
17,17.0,17.0,2035,2000,1405.64
18,18.0,18.0,2037,2000,606.201
19,19.0,19.0,2033,2000,897.217
20,20.0,,2046,2033,1578.167
21,21.0,,2044,2033,854.924
22,22.0,,2040,2033,1481.094
23,23.0,,2016,2033,892.957
24,24.0,,2042,2033,945.691
25,25.0,,2032,2033,727.593
26,26.0,,2019,2033,603.09
27,27.0,,2035,2033,838.364
28,28.0,,2037,2033,1193.252
29,29.0,,2033,2033,0.0
30,30.0,,2046,2127,872.23
31,31.0,,2044,2127,1171.862
32,32.0,,2040,2127,897.312
33,33.0,,2016,2127,1312.592
34,34.0,,2042,2127,1091.387
35,35.0,,2032,2127,1600.63
36,36.0,,2019,2127,1503.911
37,37.0,,2035,2127,1764.729
38,38.0,,2037,2127,1216.273
39,39.0,,2033,2127,1602.499
40,,,2835,2000,32329.498
41,,,2880,2000,52660.984
42,,,2666,2000,17162.652
43,,,2794,2000,14999.224
44,,,2400,2000,28545.93
45,,,2370,2000,26000.0
46,,,2594,2000,14017.205
47,,,2590,2000,16154.795
48,,,2365,2000,23087.525
49,,,2700,2000,22301.076
50,,,2871,2000,19852.574
51,,,2360,2000,28116.203
52,,,2710,2000,29266.541
53,,,2646,2000,24111.689
54,,,2372,2000,31233.422
55,,,2870,2000,18565.883
56,,,2663,2000,16640.635
57,,,2705,2000,23363.363
58,,,2671,2000,20621.719
59,,,2720,2000,17986.158
60,,,2787,2000,19243.592
